[207, 189, 180, 137, 163, 124, 202, 45, 6, 207, 3, 112, 24, 134, 152, 108, 156, 63, 92, 105, 219, 39, 192, 237, 211, 238, 140, 64]
[249, 152, 142, 142, 118, 70, 81, 185, 217, 110, 111, 80, 62, 250, 210, 22, 76, 44, 73, 148, 3, 220, 176, 152, 199, 33, 106, 165]
[253, 179, 253, 179, 56, 114, 215, 147, 71, 113, 235, 198, 236, 51, 11, 154, 143, 156, 166, 21, 233, 72, 116, 152, 211, 192, 1, 61]
[247, 87, 46, 161, 171, 146, 228, 17, 57, 131, 198, 59, 33, 159, 68, 116, 51, 223, 227, 141, 95, 213, 178, 213, 210, 116, 32, 88]
[61, 95, 206, 14, 190, 115, 23, 180, 39, 202, 184, 32, 170, 224, 122, 227, 64, 26, 222, 236, 46, 27, 6, 96, 47, 182, 126, 5]
[86, 151, 193, 142, 191, 209, 240, 61, 226, 140, 202, 245, 64, 213, 102, 79, 156, 175, 15, 91, 61, 67, 89, 175, 186, 222, 46, 186]
[190, 194, 85, 74, 233, 110, 214, 188, 16, 172, 52, 34, 27, 112, 106, 24, 170, 150, 25, 189, 30, 251, 72, 249, 229, 20, 31, 194]
[88, 155, 196, 76, 16, 183, 235, 88, 156, 139, 109, 139, 187, 51, 70, 54, 146, 193, 240, 65, 102, 59, 149, 213, 39, 132, 214, 44]
[159, 11, 227, 120, 15, 232, 190, 209, 200, 237, 222, 15, 10, 190, 186, 88, 138, 185, 142, 255, 172, 139, 205, 246, 222, 202, 149, 22]
[19, 1, 223, 97, 201, 21, 214, 160, 81, 90, 60, 237, 78, 65, 124, 231, 243, 17, 140, 135, 21, 125, 91, 186, 255, 92, 154, 110]
[88, 87, 134, 10, 63, 199, 110, 105, 14, 8, 166, 40, 111, 234, 116, 91, 23, 86, 53, 183, 191, 224, 189, 252, 40, 1, 28, 241]
[31, 168, 207, 239, 15, 245, 107, 219, 252, 36, 23, 200, 35, 71, 166, 197, 83, 2, 159, 155, 182, 8, 176, 145, 245, 18, 211, 202]
[88, 87, 44, 140, 89, 14, 175, 196, 119, 95, 205, 200, 145, 47, 228, 160, 196, 15, 67, 65, 7, 105, 173, 3, 13, 217, 174, 140]
[249, 185, 102, 130, 187, 51, 137, 182, 125, 87, 5, 203, 187, 202, 202, 215, 33, 182, 253, 55, 74, 237, 5, 235, 177, 42, 244, 84]
[126, 116, 241, 83, 233, 22, 122, 140, 233, 108, 10, 206, 42, 214, 243, 233, 60, 56, 103, 128, 74, 161, 254, 230, 28, 34, 115, 184]
[39, 95, 29, 79, 177, 255, 111, 66, 190, 235, 28, 47, 11, 64, 101, 205, 22, 119, 27, 31, 84, 83, 187, 185, 194, 185, 76, 237]
[152, 24, 61, 120, 111, 66, 3, 50, 47, 59, 13, 89, 100, 249, 128, 134, 252, 129, 163, 43, 119, 162, 135, 161, 133, 58, 247, 10]
[106, 213, 238, 211, 46, 185, 39, 45, 89, 157, 122, 183, 245, 161, 4, 97, 67, 186, 253, 34, 194, 149, 195, 231, 108, 42, 133, 53]
[204, 231, 49, 224, 23, 148, 243, 193, 229, 162, 32, 37, 255, 176, 117, 7, 171, 108, 26, 179, 70, 74, 183, 35, 242, 191, 107, 225]
[225, 162, 193, 238, 115, 27, 6, 129, 109, 78, 89, 224, 68, 97, 85, 52, 44, 106, 79, 117, 39, 105, 114, 178, 117, 162, 115, 189]
[197, 206, 148, 49, 23, 119, 229, 83, 170, 193, 52, 106, 155, 102, 101, 140, 173, 105, 100, 87, 177, 30, 157, 32, 42, 195, 117, 204]
[123, 228, 110, 204, 218, 173, 3, 251, 105, 174, 128, 14, 237, 198, 136, 45, 105, 211, 1, 77, 246, 203, 72, 221, 216, 212, 65, 45]
[143, 70, 20, 174, 211, 107, 231, 124, 119, 28, 52, 158, 110, 253, 16, 123, 63, 34, 39, 6, 36, 142, 45, 181, 87, 203, 147, 145]
[21, 153, 100, 204, 47, 211, 39, 103, 10, 250, 181, 26, 221, 231, 9, 12, 134, 68, 130, 188, 217, 36, 187, 194, 35, 94, 7, 183]
[112, 72, 173, 162, 144, 224, 41, 43, 29, 102, 145, 147, 143, 215, 12, 236, 18, 155, 47, 86, 138, 205, 28, 1, 28, 153, 62, 214]
[241, 56, 174, 168, 153, 146, 104, 179, 63, 144, 74, 46, 202, 22, 146, 233, 116, 180, 147, 180, 28, 147, 144, 141, 32, 88, 76, 46]
[193, 205, 230, 1, 58, 188, 172, 126, 29, 35, 163, 212, 171, 185, 120, 64, 166, 206, 30, 179, 126, 204, 126, 128, 58, 125, 55, 89]
[14, 241, 223, 115, 131, 141, 224, 103, 12, 101, 203, 129, 255, 176, 127, 48, 174, 187, 166, 247, 119, 102, 181, 13, 155, 171, 52, 60]
[227, 61, 221, 200, 49, 153, 79, 211, 41, 59, 157, 60, 225, 224, 96, 151, 254, 220, 149, 235, 119, 195, 236, 121, 49, 242, 111, 82]
[38, 117, 113, 117, 209, 222, 59, 133, 204, 253, 111, 188, 39, 101, 126, 105, 129, 82, 243, 170, 221, 13, 18, 26, 114, 63, 138, 94]
[211, 180, 139, 135, 37, 8, 71, 23, 197, 17, 192, 74, 37, 238, 122, 64, 174, 45, 230, 146, 12, 145, 222, 125, 48, 3, 83, 187]
[14, 31, 102, 200, 28, 218, 204, 34, 172, 137, 78, 197, 97, 13, 119, 96, 173, 211, 47, 175, 13, 255, 83, 177, 32, 217, 108, 4]

