[205, 138, 185, 179, 141, 69, 185, 102, 227, 58, 155, 83, 52, 63, 96, 104, 245, 240, 12, 118, 216, 201, 135, 189, 169, 209, 5, 101, 136]
[192, 69, 12, 37, 9, 204, 23, 110, 129, 21, 172, 116, 15, 144, 135, 6, 200, 203, 208, 34, 204, 102, 210, 249, 96, 161, 100, 152, 88]
[102, 34, 162, 238, 4, 168, 98, 141, 210, 50, 200, 226, 96, 55, 113, 68, 233, 175, 206, 144, 188, 174, 101, 89, 238, 124, 189, 210, 149]
[68, 85, 96, 204, 197, 192, 147, 21, 249, 116, 91, 167, 55, 139, 251, 241, 99, 101, 158, 243, 223, 11, 213, 72, 156, 155, 28, 247, 199]
[68, 1, 72, 232, 199, 175, 206, 181, 181, 206, 246, 168, 120, 146, 31, 206, 132, 225, 86, 95, 207, 108, 165, 149, 42, 242, 90, 202, 196]
[188, 221, 76, 119, 171, 148, 14, 32, 93, 250, 117, 54, 191, 76, 221, 76, 160, 39, 168, 184, 43, 227, 89, 54, 163, 112, 224, 112, 22]
[162, 145, 174, 200, 218, 82, 89, 182, 43, 187, 115, 141, 58, 122, 156, 216, 16, 112, 162, 172, 183, 141, 183, 164, 54, 147, 108, 103, 172]
[195, 180, 186, 92, 144, 130, 226, 241, 139, 106, 148, 69, 207, 77, 149, 97, 15, 52, 50, 255, 38, 213, 76, 218, 107, 66, 117, 158, 66]
[145, 182, 221, 169, 156, 185, 244, 114, 159, 55, 173, 159, 126, 205, 249, 84, 132, 135, 100, 146, 165, 87, 165, 14, 71, 8, 87, 246, 197]
[135, 45, 221, 8, 64, 107, 220, 87, 178, 153, 21, 182, 186, 127, 11, 216, 97, 198, 75, 59, 13, 50, 166, 197, 136, 48, 83, 132, 13]
[202, 36, 177, 193, 254, 23, 15, 228, 245, 169, 161, 65, 89, 43, 10, 236, 1, 196, 170, 187, 93, 183, 4, 63, 39, 235, 246, 248, 46]
[37, 46, 39, 19, 230, 253, 115, 113, 139, 198, 170, 162, 207, 70, 114, 227, 237, 40, 46, 215, 180, 157, 26, 42, 132, 90, 186, 145, 156]
[103, 220, 132, 236, 243, 228, 108, 248, 177, 37, 224, 112, 134, 203, 131, 28, 119, 32, 54, 38, 165, 36, 250, 81, 132, 231, 93, 150, 214]
[76, 202, 114, 137, 178, 87, 178, 65, 146, 254, 216, 76, 240, 201, 66, 124, 249, 161, 115, 80, 114, 102, 240, 135, 128, 150, 232, 198, 98]
[5, 218, 38, 3, 1, 218, 71, 45, 143, 155, 234, 132, 158, 228, 45, 137, 88, 252, 144, 178, 57, 121, 53, 81, 217, 98, 109, 176, 254]
[207, 87, 81, 219, 108, 51, 152, 42, 183, 30, 158, 55, 32, 212, 204, 245, 179, 2, 10, 1, 246, 198, 58, 101, 85, 187, 193, 233, 138]
[31, 228, 144, 220, 208, 178, 138, 13, 208, 167, 143, 72, 79, 159, 238, 43, 37, 54, 111, 93, 34, 200, 202, 127, 176, 123, 202, 144, 200]
[8, 106, 33, 176, 181, 196, 113, 189, 217, 57, 92, 210, 41, 234, 144, 158, 88, 101, 210, 249, 118, 218, 159, 240, 62, 77, 35, 67, 214]
[111, 54, 246, 152, 224, 25, 165, 128, 235, 249, 29, 138, 201, 154, 3, 87, 52, 192, 177, 191, 228, 52, 208, 146, 179, 41, 42, 35, 86]
[152, 30, 127, 53, 30, 7, 17, 113, 111, 148, 76, 111, 104, 124, 68, 129, 70, 128, 93, 184, 100, 26, 28, 181, 37, 213, 188, 84, 215]
[17, 19, 128, 10, 130, 142, 206, 201, 171, 217, 180, 171, 155, 36, 73, 214, 64, 223, 241, 92, 37, 69, 209, 219, 194, 86, 87, 73, 199]
[66, 186, 37, 177, 245, 187, 208, 73, 163, 82, 241, 98, 163, 24, 212, 141, 19, 197, 87, 238, 75, 159, 164, 253, 182, 176, 47, 71, 200]
[26, 229, 154, 93, 183, 230, 76, 141, 246, 190, 254, 153, 206, 157, 99, 96, 200, 248, 201, 215, 16, 207, 244, 45, 159, 176, 197, 176, 209]
[86, 214, 60, 161, 146, 12, 22, 49, 124, 69, 169, 141, 5, 145, 44, 42, 49, 203, 30, 220, 147, 170, 182, 21, 62, 85, 151, 223, 210]
[206, 215, 200, 208, 141, 191, 42, 160, 27, 164, 219, 155, 4, 115, 131, 159, 42, 78, 221, 59, 178, 100, 242, 147, 250, 141, 22, 20, 159]
[171, 9, 58, 250, 16, 216, 140, 129, 111, 145, 85, 162, 133, 211, 194, 48, 15, 167, 99, 54, 224, 162, 103, 94, 67, 84, 173, 153, 119]
[105, 241, 141, 243, 15, 151, 225, 225, 114, 37, 235, 115, 180, 248, 155, 71, 169, 28, 51, 174, 172, 57, 51, 10, 93, 184, 206, 170, 187]
[254, 146, 15, 249, 141, 250, 197, 82, 15, 42, 64, 202, 151, 220, 218, 49, 103, 131, 243, 27, 138, 1, 117, 38, 189, 205, 187, 179, 138]
[16, 71, 206, 75, 112, 242, 199, 185, 40, 70, 111, 117, 57, 12, 2, 135, 5, 57, 218, 12, 250, 31, 241, 119, 173, 174, 210, 110, 94]
[174, 223, 98, 22, 100, 187, 233, 183, 22, 126, 36, 177, 29, 26, 67, 143, 248, 205, 59, 145, 178, 251, 173, 255, 218, 148, 105, 225, 160]
[141, 16, 29, 75, 106, 250, 141, 58, 49, 155, 5, 174, 35, 39, 49, 61, 153, 129, 90, 49, 157, 78, 72, 151, 208, 248, 155, 155, 235]
[101, 100, 239, 109, 51, 52, 170, 154, 94, 225, 40, 5, 214, 20, 232, 41, 48, 17, 129, 249, 3, 222, 35, 207, 118, 168, 243, 56, 191]

